Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
506415,0.138144321,0,0.028543802,0.14803066,0.024159206,0.143160108,0,0,0.03919146,0,0.015138911,0.033705349,0.055212214,0,0,0,0,0.00347463,0.017839774,0,0,0.353399565,0,0.907977674,0.530150021
506108,0.065516838,0.008461211,0.015202285,0.136983403,0.140471473,0.261222922,0,0,0.00219518,0,0.028961053,0.022560933,0.065030942,0,0,0.007570852,0,0.001062015,0.002203913,0,0,0.24255698,0,0.908613018,0.546298393
506008,0.103845012,0.003347356,0.02040102,0.109683569,0.054033454,0.140777987,0,0,0.007770652,0,0.032736686,0.029986743,0.036404886,0,0,0.007834073,0,0.000349724,0.01808902,0,0,0.434739817,0,0.924403107,0.475507123
507555,0.037401814,0.02075114,0.020383418,0.131554823,0,0.098547077,0,0,0.023807133,0,0.08600169,0.039312359,0.056755908,0,0,0.014503866,0,0.001582122,0.025107877,0,0,0.444290773,0,0.909002089,0.488452715
505744,0.035039975,0.006676954,0.013534692,0.09206348,0.057241655,0.141113564,0.004733495,0,0.014307397,0,0.066607959,0.023491258,0.01028213,0.012196029,0,0.021590028,0,8.52338123280514e-05,0.004700201,0,0,0.496335949,0,0.921158272,0.450926956
506789,0.109512643,0.013532626,0.047708301,0.268002757,0.01315878,0.185225465,0,0,0.020162318,0,0.073981158,0.055818228,0.051502752,0,0,0,0,0.003460979,0.024563159,0,0,0.133370834,0,0.846985755,0.619557378
506917,0.051653558,0,0.015532599,0.108887389,0.135589513,0.22926678,0,0,0.001696698,0,0.072254972,0.016462946,0.037757751,0,0,0.010512873,0,0.000163167,0.018147258,0,0,0.302074496,0,0.88124951,0.565097828
506737,0.087627283,0,0.023418231,0.156098281,0.024973622,0.123317283,0,0,0.004348215,0,0.064753763,0.033859565,0.062941083,0,0,0.022914096,0,0.003014791,0.015367884,0,0,0.377365905,0,0.910802234,0.515857997
508163,0.084474153,0,0.04225636,0.151592244,0,0.024173966,0,0,0.033680959,0,0.09873947,0.083344413,0.005799949,0,0,0,0,0.003185006,0.001482609,0,0,0.47127087,0,0.907183549,0.478729796
508713,0.104512001,0.021372361,0.038820201,0.139344517,0,0.169939748,0.020065106,0,0.011731583,0,0.110282766,0.050163294,0,0,0,0.00846958,0,0.007886654,0.017511102,0,0.001105854,0.298795235,0,0.89683542,0.561350832
